A00;Χολέρα
N48.9;Διαταραχή του πέους, μη καθορισμένη
N49;Φλεγμονώδεις διαταραχές των ανδρικών γεννητικών οργάνων, που δεν ταξινομούνται αλλού 
N49.0;Φλεγμονώδεις διαταραχές της σπερματοδόχου κύστης
N49.1;Φλεγμονώδεις διαταραχές του σπερματικού τόνου, του ελυτροειδούς χιτώνα και του σπερματικού πόρου
N49.2;Φλεγμονώδεις διαταραχές του όσχεου
N49.8;Φλεγμονώδεις διαταραχές άλλων καθορισμένων ανδρικών γεννητικών οργάνων
N49.9;Φλεγμονώδης διαταραχή μη καθορισμένου ανδρικού γεννητικού οργάνου
N50;Άλλες διαταραχές των ανδρικών γεννητικών οργάνων 
N50.0;Ατροφία του όρχεος
N50.1;Αγγειακές διαταραχές ανδρικών γεννητικών οργάνων
N50.8;Άλλες καθορισμένες διαταραχές των ανδρικών γεννητικών οργάνων
N50.9;Διαταραχή των ανδρικών γεννητικών οργάνων, μη καθορισμένη
N51*;Διαταραχές των ανδρικών γεννητικών οργάνων σε νοσήματα που ταξινομούνται αλλού
N51.0*;Διαταραχές του προστάτη σε νοσήματα που ταξινομούνται αλλού
N51.1*;Διαταραχές του όρχεος και της επιδιδυμίδας σε νοσήματα που ταξινομούνται αλλού
N51.2*;Βαλανίτιδα σε νοσήματα που ταξινομούνται αλλού
N51.8*;Άλλες διαταραχές των ανδρικών γεννητικών οργάνων σε νοσήματα που ταξινομούνται αλλού
N60;Καλοήθης δυσπλασία του μαστού
N60.0;Μονήρης κύστη του μαστού
N60.1;Διάχυτη κυστική μαστοπάθεια
N60.2;Ινοαδενωμάτωση του μαστού
N60.3;Ινώδης σκλήρυνση του μαστού
N60.4;Διάταση των εκφορητικών πόρων του μαστού
N60.8;Άλλες καλοήθεις δυσπλασίες του μαστού
N60.9;Καλοήθης δυσπλασία του μαστού, μη καθορισμένη
N61;Φλεγμονώδεις παθήσεις του μαστού
N62;Υπερτροφία του μαστού
N63;Όζος του μαστού, μη καθορισμένος
N64;Άλλες διαταραχές του μαστού
N64.0;Pαγάδες και συρίγγια της θηλής
N64.1;Λιπώδης νέκρωση του μαστού
N64.2;Ατροφία του μαστού
N64.3;Γαλακτόρροια μη σχετιζόμενη με τοκετό  
N64.4;Μαστοδυνία
N64.5;Άλλα σημεία και συμπτώματα από τον μαστό
N64.8;Άλλες καθορισμένες διαταραχές του μαστού
N64.9;Διαταραχή του μαστού, μη καθορισμένη
N70;Σαλπιγγίτιδα και φλεγμονή της ωοθήκης
N70.0;Οξεία σαλπιγγίτιδα και φλεγμονή της ωοθήκης
N70.1;Χρόνια σαλπιγγίτιδα και φλεγμονή της ωοθήκης
N70.9;Σαλπιγγίτιδα και φλεγμονή της ωοθήκης, μη καθορισμένες
N71;Φλεγμονώδης νόσος της μήτρας, εκτός του τραχήλου
N71.0;Οξεία φλεγμονώδης νόσος της μήτρας
N71.1;Χρόνια φλεγμονώδης νόσος της μήτρας
N71.9;Φλεγμονώδης νόσος της μήτρας, μη καθορισμένη
N72;Φλεγμονώδης νόσος του τραχήλου της μήτρας
N73;Άλλα φλεγμονώδη νοσήματα των οργάνων της γυναικείας πυέλου
N73.0;Οξεία παραμητρίτιδα και κυτταρίτιδα της πυέλου
N73.1;Χρόνια παραμητρίτιδα και κυτταρίτιδα της πυέλου
N73.2;Μη καθορισμένη παραμητρίτιδα και κυτταρίτιδα της πυέλου
N73.3;Οξεία πυελική περιτονίτιδα της γυναίκας
N73.4;Χρόνια πυελική περιτονίτιδα της γυναίκας 
N73.5;Πυελική περιτονίτιδα της γυναίκας, μη καθορισμένη
N73.6;Συμφύσεις του πυελικού περιτοναίου της γυναίκας
N73.8;Άλλες καθορισμένες φλεγμονώδεις παθήσεις των οργάνων της γυναικείας πυέλου
N73.9;Φλεγμονώδες νόσημα των οργάνων της γυναικείας πυέλου, μη καθορισμένο
N74*;Φλεγμονώδεις διαταραχές των οργάνων της γυναικείας πυέλου σε νοσήματα που ταξινομούνται αλλού
N74.0*;Φυματιώδης λοίμωξη του τραχήλου της μήτρας (A18.1+)
N74.1*;Φυματίωση των οργάνων της γυναικείας πυέλου (A18.1+) 
N74.2*;Συφιλιδικό φλεγμονώδες νόσημα των οργάνων της γυναικείας πυέλου (A51.4+, A52.7+)
N74.3*;Γονοκοκκική φλεγμονή των οργάνων της γυναικείας πυέλου (A54.2+)
N74.4*;Χλαμυδιακή φλεγμονή των οργάνων της γυναικείας πυέλου (A56.1+)
N74.8*;Φλεγμονώδεις διαταραχές των οργάνων της γυναικείας πυέλου σε νοσήματα που ταξινομούνται αλλού
N75;Νοσήματα του Βαρθολινείου αδένα
N75.0;Κύστη του Βαρθολινείου αδένα
N75.1;Απόστημα του Βαρθολινείου αδένα
N75.8;Άλλα νοσήματα του Βαρθολινείου αδένα
N75.9;Νόσημα του Βαρθολινείου αδένα, μη καθορισμένο 
N76;Άλλες φλεγμονές του κόλπου και του αιδοίου 
N76.0;Οξεία κολπίτιδα
N76.1;Υποξεία και χρόνια κολπίτιδα
N76.2;Οξεία φλεγμονή του αιδοίου
N76.3;Υποξεία και χρόνια φλεγμονή του αιδοίου
N76.4;Απόστημα του αιδοίου
N76.5;Εξέλκωση του κόλπου
N76.6;Εξέλκωση του αιδοίου
N76.8;Άλλη καθορισμένη φλεγμονή του κόλπου και του αιδοίου
N77*;Αιδοιοκολπική εξέλκωση και φλεγμονή σε νοσήματα που ταξινομούνται αλλού
N77.0*;Εξέλκωση του αιδοίου σε λοιμώδη και παρασιτικά νοσήματα που ταξινομούνται αλλού
N77.1*;Κολπίτιδα, φλεγμονή του αιδοίου και αιδοιοκολπίτιδα σε λοιμώδη και παρασιτικά νοσήματα που ταξινομούνται αλλού
N77.8*;Αιδοιοκολπική εξέλκωση και φλεγμονή σε άλλα νοσήματα που ταξινομούνται αλλού
N80;Ενδομητρίωση
N80.0;Ενδομητρίωση της μήτρας
N80.1;Ενδομητρίωση της ωοθήκης
N80.2;Ενδομητρίωση της σάλπιγγας
N80.3;Ενδομητρίωση του πυελικού περιτοναίου
N80.4;Ενδομητρίωση του ορθοκολπικού διαφράγματος και του κόλπου
N80.5;Ενδομητρίωση του εντέρου
N80.6;Ενδομητρίωση σε δερματική ουλή
N80.8;Άλλη ενδομητρίωση
N80.9;Ενδομητρίωση, μη καθορισμένη
N81;Πρόπτωση των γυναικείων γεννητικών οργάνων
N81.0;Ουρηθροκήλη των γυναικών
N81.1;Κυστεοκήλη
N81.2;Μερική πρόπτωση του κόλπου και της μήτρας
N81.3;Ολική πρόπτωση του κόλπου και της μήτρας
N81.4;Πρόπτωση του κόλπου και της μήτρας, μη καθορισμένη 
N81.5;Κολπική εντεροκήλη
N81.6;Ορθοκήλη
N81.8;Άλλη πρόπτωση των γυναικείων γεννητικών οργάνων
N81.9;Πρόπτωση των γυναικείων γεννητικών οργάνων, μη καθορισμένη
N82;Συρίγγια των γυναικείων γεννητικών οργάνων
N82.0;Κυστεοκολπικό συρίγγιο
N82.1;Άλλα συρίγγια μεταξύ οργάνων του γυναικείου ουρογεννητικού συστήματος 
N82.2;Συρίγγιο του κόλπου προς το λεπτό έντερο
N82.3;Συρίγγιο του κόλπου προς το παχύ έντερο
N82.4;Άλλα συρίγγια μεταξύ γυναικείων γεννητικών οργάνων και εντέρου
N82.5;Συρίγγια μεταξύ των γυναικείων γεννητικών οργάνων και του δέρματος
N82.8;Άλλα συρίγγια των γυναικείων γεννητικών οργάνων
N82.9;Συρίγγιο των γυναικείων γεννητικών οργάνων, μη καθορισμένο
N83;Μη φλεγμονώδεις παθήσεις της ωοθήκης, της σάλπιγγας και του πλατέος συνδέσμου
N83.0;Θυλακιώδης κύστη της ωοθήκης
N83.1;Κύστη του ωχρού σωματίου
